There is a total of 40000 digits of the types:  0 1 2 3 4 5 6 7 8 9
Cuda enabled 

Net(
  (l1): Linear(in_features=784, out_features=20, bias=True)
  (l_out): Linear(in_features=20, out_features=10, bias=True)
)
Epoch 640 : Train Loss 4.152206 , Train acc 0.978286, Valid acc 0.938500
Epoch 645 : Train Loss 4.152191 , Train acc 0.978286, Valid acc 0.938500
Epoch 650 : Train Loss 4.152167 , Train acc 0.978286, Valid acc 0.938500
Epoch 655 : Train Loss 4.152107 , Train acc 0.978321, Valid acc 0.938750
Epoch 660 : Train Loss 4.152078 , Train acc 0.978321, Valid acc 0.939000
Epoch 665 : Train Loss 4.152059 , Train acc 0.978321, Valid acc 0.939000
Epoch 670 : Train Loss 4.152037 , Train acc 0.978357, Valid acc 0.939250
Epoch 675 : Train Loss 4.151978 , Train acc 0.978357, Valid acc 0.939000
Epoch 680 : Train Loss 4.151951 , Train acc 0.978357, Valid acc 0.939500
Epoch 685 : Train Loss 4.151931 , Train acc 0.978357, Valid acc 0.939250
Epoch 690 : Train Loss 4.151916 , Train acc 0.978357, Valid acc 0.939250
Epoch 695 : Train Loss 4.151899 , Train acc 0.978357, Valid acc 0.939250
Epoch 700 : Train Loss 4.151856 , Train acc 0.978393, Valid acc 0.939250
Epoch 705 : Train Loss 4.151813 , Train acc 0.978393, Valid acc 0.939250
Epoch 710 : Train Loss 4.151792 , Train acc 0.978393, Valid acc 0.939250
Epoch 715 : Train Loss 4.151760 , Train acc 0.978429, Valid acc 0.939500
Epoch 720 : Train Loss 4.151707 , Train acc 0.978429, Valid acc 0.939750
Epoch 725 : Train Loss 4.151683 , Train acc 0.978429, Valid acc 0.939500
Epoch 730 : Train Loss 4.151656 , Train acc 0.978429, Valid acc 0.940000
Epoch 735 : Train Loss 4.151535 , Train acc 0.978500, Valid acc 0.939250
Epoch 740 : Train Loss 4.151492 , Train acc 0.978500, Valid acc 0.939250
Epoch 745 : Train Loss 4.151457 , Train acc 0.978500, Valid acc 0.939750
Epoch 750 : Train Loss 4.151292 , Train acc 0.978607, Valid acc 0.939750
Epoch 755 : Train Loss 4.151196 , Train acc 0.978607, Valid acc 0.939500
Epoch 760 : Train Loss 4.151073 , Train acc 0.978679, Valid acc 0.939750
Epoch 765 : Train Loss 4.150918 , Train acc 0.978750, Valid acc 0.939500
Epoch 770 : Train Loss 4.150839 , Train acc 0.978750, Valid acc 0.939250
Epoch 775 : Train Loss 4.150810 , Train acc 0.978750, Valid acc 0.939000
Epoch 780 : Train Loss 4.150782 , Train acc 0.978750, Valid acc 0.939000
Epoch 785 : Train Loss 4.150717 , Train acc 0.978786, Valid acc 0.939000
Epoch 790 : Train Loss 4.150679 , Train acc 0.978786, Valid acc 0.939000
Epoch 795 : Train Loss 4.150660 , Train acc 0.978786, Valid acc 0.939000
Epoch 800 : Train Loss 4.150646 , Train acc 0.978786, Valid acc 0.939000
Epoch 805 : Train Loss 4.150626 , Train acc 0.978786, Valid acc 0.939000
Epoch 810 : Train Loss 4.150552 , Train acc 0.978821, Valid acc 0.939000
Epoch 815 : Train Loss 4.150531 , Train acc 0.978821, Valid acc 0.939000
Epoch 820 : Train Loss 4.150516 , Train acc 0.978821, Valid acc 0.939000
Epoch 825 : Train Loss 4.150505 , Train acc 0.978821, Valid acc 0.939000
Epoch 830 : Train Loss 4.150492 , Train acc 0.978821, Valid acc 0.939000
Epoch 835 : Train Loss 4.150481 , Train acc 0.978857, Valid acc 0.939000
Epoch 840 : Train Loss 4.150410 , Train acc 0.978893, Valid acc 0.939000
Epoch 845 : Train Loss 4.150310 , Train acc 0.978893, Valid acc 0.938750
Epoch 850 : Train Loss 4.150233 , Train acc 0.978929, Valid acc 0.938250
Epoch 855 : Train Loss 4.150208 , Train acc 0.978929, Valid acc 0.938250
Epoch 860 : Train Loss 4.150192 , Train acc 0.978929, Valid acc 0.938250
Epoch 865 : Train Loss 4.150180 , Train acc 0.978929, Valid acc 0.938250
Epoch 870 : Train Loss 4.150169 , Train acc 0.978929, Valid acc 0.938250
Epoch 875 : Train Loss 4.150161 , Train acc 0.978929, Valid acc 0.938250
Epoch 880 : Train Loss 4.150151 , Train acc 0.978929, Valid acc 0.938250
Epoch 885 : Train Loss 4.150142 , Train acc 0.978929, Valid acc 0.938250
